Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00000001,MP0052,Bihar,MUZAFFARPUR-2,Water Supply,Drinking water facility,7550000,2025-05-16,2025-08-16,,V009859,Ongoing
P00000002,MP0093,West Bengal,HOWRAH-3,Community Development,Village development work,7280000,2025-03-04,2025-10-30,2025-10-04,V049349,Completed
P00000003,MP0015,Karnataka,BELAGAVI-2,Public Infrastructure,Public facility improvement,2840000,2025-06-21,2026-01-27,2026-01-12,V021891,Completed
P00000004,MP0072,Madhya Pradesh,INDORE-1,Community Development,Community hall construction,4730000,2025-06-15,2025-11-14,2025-10-29,V009128,Completed
P00000005,MP0061,Uttar Pradesh,AGRA-1,Healthcare,Community health facility,6550000,2025-05-06,2025-12-16,2025-12-03,V019707,Completed
P00000006,MP0021,Telangana,KARIMNAGAR-3,Community Development,Public facility development,1240000,2025-02-16,2025-09-04,2025-08-13,V028476,Completed
P00000007,MP0083,Gujarat,VADODARA-4,Sanitation,Waste management facility,1400000,2025-07-06,2025-11-22,2025-11-10,V010182,Completed
P00000008,MP0087,Rajasthan,JAIPUR-2,Water Supply,Drinking water facility,5670000,2025-01-14,2025-06-17,2025-05-26,V008655,Completed
P00000009,MP0075,Tamil Nadu,MADURAI-1,Road,Road repair and improvement,8340000,2025-02-04,2025-06-10,,V025979,Ongoing
P00000010,MP0075,Tamil Nadu,MADURAI-1,Agriculture,Agricultural storage facility,1620000,2025-03-26,2025-08-20,2025-08-19,V034502,Completed
P00000011,MP0088,Madhya Pradesh,INDORE-4,Water Supply,Pipeline installation,5660000,2025-02-05,2025-08-25,,V042544,Ongoing
P00000012,MP0100,Maharashtra,NASHIK-5,Public Infrastructure,Infrastructure development,1580000,2025-01-29,2025-06-07,2025-05-30,V009429,Completed
P00000013,MP0024,Madhya Pradesh,BHOPAL-2,Education,School laboratory development,1480000,2025-04-30,2025-11-22,2025-11-09,V049965,Completed
P00000014,MP0003,Tamil Nadu,CHENNAI-5,Healthcare,Medical equipment purchase,7670000,2025-06-03,2026-01-12,2026-01-05,V012325,Completed
P00000015,MP0022,Tamil Nadu,MADURAI-3,Healthcare,Health centre infrastructure,4600000,2025-02-04,2025-07-04,2025-06-19,V008598,Completed
P00000016,MP0053,Karnataka,BALLARI-1,Community Development,Public facility development,1550000,2025-08-05,2026-02-03,2026-01-20,V035892,Completed
P00000017,MP0002,Bihar,GAYA-1,Road,Internal road development,1090000,2025-03-01,2025-11-24,2025-10-27,V046850,Completed
P00000018,MP0088,Madhya Pradesh,INDORE-4,Sanitation,Community toilet construction,630000,2025-06-20,2025-10-20,2025-09-26,V025614,Completed
P00000019,MP0030,Telangana,HYDERABAD-1,Sanitation,Community toilet construction,5080000,2025-05-04,2025-10-16,2025-09-24,V025106,Completed
P00000020,MP0038,Karnataka,KALABURAGI-3,Road,Rural connectivity road,1380000,2025-04-14,2025-12-14,2025-11-15,V023666,Completed
